Model,Avg FPS,Avg Detections/Frame,Total Detections,Frames Processed,Params (M),Size (MB),Avg Inference (ms),Classes
yolov8,1.5,1.9,94,50,25.84,49.6,658.6,"Auto, Bike, Bus, Car, Scooty, Taxi, Tempo, Toto, Truck"
yolov9,1.3,0.9,44,50,20.02,39.0,776.6,"Auto, Bike, Bus, Car, Scooty, Taxi, Tempo, Toto, Truck"
yolov10,1.7,0.2,9,50,15.32,31.9,577.0,"Auto, Bike, Bus, Car, Scooty, Taxi, Tempo, Toto, Truck"
yolov8m_coco,1.6,26.1,1304,50,25.89,49.7,622.3,"person, bicycle, car, motorcycle, airplane, bus, train, truck, boat, traffic light, fire hydrant, stop sign, parking meter, bench, bird, cat, dog, horse, sheep, cow, elephant, bear, zebra, giraffe, backpack, umbrella, handbag, tie, suitcase, frisbee, skis, snowboard, sports ball, kite, baseball bat, baseball glove, skateboard, surfboard, tennis racket, bottle, wine glass, cup, fork, knife, spoon, bowl, banana, apple, sandwich, orange, broccoli, carrot, hot dog, pizza, donut, cake, chair, couch, potted plant, bed, dining table, toilet, tv, laptop, mouse, remote, keyboard, cell phone, microwave, oven, toaster, sink, refrigerator, book, clock, vase, scissors, teddy bear, hair drier, toothbrush"
